country_code,country,year,sdg_index_score,goal_1_score,goal_2_score,goal_3_score,goal_4_score,goal_5_score,goal_6_score,goal_7_score,goal_8_score,goal_9_score,goal_10_score,goal_11_score,goal_12_score,goal_13_score,goal_14_score,goal_15_score,goal_16_score,goal_17_score
HTI,Haiti,2019,51.8,46.7,51.8,40,69,41.6,54.2,22.3,59.1,22.2,47.3,39.6,94,98.8,65,43.4,42.1,44
_HIC,High-income Countries,2019,77.3,99.1,69.9,91.4,94.8,74,71.6,75.1,83.1,93.2,73.1,89.4,57,60.6,64.9,68.6,77.8,69.8
HND,Honduras,2019,62.9,67.3,54.2,71.4,64.6,61.4,72.1,60.1,70.6,26.6,20.8,82.1,89.3,95.6,62.4,65.1,43.9,61.2
HUN,Hungary,2019,79.1,98.8,71.1,83.8,92,64.4,86.6,73.9,81.7,76.3,92.7,89.3,74,77.8,0,86.4,68.2,49
ISL,Iceland,2019,77.4,99.8,54.5,96.6,97.3,87.2,59.8,99.6,77.8,87.3,100,87.6,37.7,50.1,61.9,54,94.1,71.2
IND,India,2019,62.2,81.1,54.1,63,80.1,46.1,57.3,64.7,74.7,46.4,38.5,48.9,94.8,94.3,62.1,46.2,53.2,51.8
IDN,Indonesia,2019,69,81.5,66.1,66.9,92.2,61.5,69.2,64.3,76.1,44.6,62.7,74.5,89.2,92.2,69.4,46.7,66.1,49.8
IRN,"Iran, Islamic Rep.",2019,69,93.2,64.4,80.4,82.8,43.6,60.2,64.4,63.3,59.7,48.5,76.7,85.8,81,80.1,67.9,61.4,59.4
IRQ,Iraq,2019,62.4,0,51.7,61.6,69.9,42.3,62.3,63.8,59.2,32.9,91.5,55.2,86.2,84.9,68.1,40.9,63.9,63.5
IRL,Ireland,2019,79.3,99.9,67.7,95.2,99.8,76.4,82.9,74.8,86,85.3,90.3,90,46.4,53.9,72.6,88.7,87.9,50.1
ISR,Israel,2019,73.7,98.6,55.6,95.7,99.5,72.9,68.2,71.7,84,94.8,71.6,86.7,67.5,66,37.5,49.4,71.6,61
ITA,Italy,2019,77.9,97.5,69.4,94.2,94,73.5,80.8,76.9,78.2,85.7,77.9,69.8,70.8,79.6,62.5,79.9,72.8,59.9
JAM,Jamaica,2019,69.3,91.3,58.9,79.5,81.8,72,70.1,64.2,78.1,47.9,25.6,85.8,84,90.9,61.8,55.8,62.4,67.4
JPN,Japan,2019,78.8,99.3,74.8,94,94.2,60.9,84.9,72.6,88.3,94.5,80.5,84.8,60.9,73.1,55.6,63.5,86.9,70.9
